Quarter,Close,High,Low,GDP,Real_GDP,Real_GDP_Per_Capita,GDP_Deflator,Unemployment,M2_Money_Supply,CPI,Fed_Funds_Rate,Consumer_Sentiment,Retail_Sales,Industrial_Production,Housing_Starts,Corp_Profits,PCE,Business_Investment,Labor_Force_Participation,Job_Openings_Rate,Real_Weekly_Earnings,Private_Job_Growth,CPI_BLS,Hourly_Earnings
2015Q3,19.162370681762695,27.4950008392334,23.434999465942383,18401.626,18857.418,58486.0,97.583,5.0,12154.8,237.498,0.14,87.2,448090,100.633,1224,1842.986,12386.4,2521.879,62.6,4.1,9.02,119941.0,238.034,25.01
2015Q4,20.565353393554688,26.462499618530273,23.959999084472656,18435.137,18892.206,58470.0,97.581,5.0,12368.7,237.761,0.24,92.6,450598,98.9471,1146,1746.728,12452.0,2500.42,62.5,3.9,9.12,120523.0,237.733,25.2
2016Q1,23.602611541748047,29.842500686645508,25.549999237060547,18525.933,19001.69,58704.0,97.496,5.0,12629.0,238.08,0.36,91.0,450462,98.1635,1111,1805.898,12537.0,2488.836,62.7,4.0,9.19,121096.0,237.652,25.37
2016Q2,26.199329376220703,32.60749816894531,28.110000610351562,18711.702,19062.709,58787.0,98.159,4.9,12835.4,240.222,0.38,93.5,458711,98.7315,1203,1865.417,12731.2,2511.643,62.9,3.9,9.2,121671.0,238.992,25.53
2016Q3,24.748863220214844,32.994998931884766,30.05500030517578,18892.639,19197.938,59084.0,98.41,5.0,13034.2,241.176,0.4,91.2,461400,98.6552,1068,1857.546,12846.6,2543.679,62.8,4.0,9.22,122231.0,240.101,25.69
2016Q4,24.35550308227539,32.1150016784668,27.622499465942383,19089.379,19304.352,59296.0,98.886,4.7,13226.1,242.637,0.54,98.2,467852,99.0406,1252,1926.839,13005.9,2571.821,62.8,3.7,9.21,122771.0,241.741,25.9
2017Q1,26.372777938842773,33.31999969482422,29.332500457763672,19280.084,19398.343,59494.0,99.39,4.4,13428.7,243.892,0.79,96.9,472149,99.0492,1190,2045.666,13139.9,2603.148,62.8,3.7,9.18,123312.0,243.618,26.0
2017Q2,28.992145538330078,36.217498779296875,31.772499084472656,19438.643,19506.949,59736.0,99.65,4.3,13558.5,244.163,1.04,95.0,473546,100.337,1249,2019.85,13225.2,2640.229,63.0,4.0,9.22,123839.0,244.193,26.17
2017Q3,30.51930046081543,37.900001525878906,34.5,19692.595,19660.766,60099.0,100.162,4.3,13723.0,246.435,1.15,95.1,484163,99.7482,1181,2061.502,13417.3,2668.855,62.9,4.1,9.27,124398.0,244.243,26.35
2017Q4,32.73282241821289,39.849998474121094,36.404998779296875,20037.088,19882.352,60674.0,100.778,4.1,13873.8,247.805,1.3,95.9,492579,101.4871,1177,1864.83,13666.1,2732.168,62.7,4.2,9.22,124789.0,246.626,26.5
2018Q1,34.47404479980469,41.102500915527344,36.275001525878906,20328.553,20044.077,61093.0,101.419,4.0,13976.0,249.577,1.51,101.4,493022,102.1943,1318,1986.985,13793.2,2810.324,62.7,4.3,9.2,125286.0,248.859,26.72
2018Q2,35.496612548828125,42.38249969482422,38.76499938964844,20580.912,20150.476,61336.0,102.136,4.0,14109.9,251.018,1.82,98.2,499218,103.2256,1192,2063.283,13930.4,2846.516,62.9,4.4,9.23,125978.0,250.227,26.91
2018Q3,35.8510627746582,43.912498474121094,40.877498626708984,20798.73,20276.154,61622.0,102.577,3.7,14229.3,252.182,1.95,100.1,500033,104.1038,1250,2014.346,14017.8,2870.365,63.0,4.6,9.26,126584.0,251.214,27.1
2018Q4,37.414825439453125,46.04999923706055,41.19499969482422,20917.867,20304.874,61619.0,103.019,3.9,14382.6,252.767,2.27,98.3,496973,104.0451,1095,2015.959,14051.6,2898.677,62.9,4.7,9.27,127047.0,252.772,27.37
2019Q1,41.8903923034668,48.88750076293945,42.165000915527344,21111.6,20431.641,61939.0,103.328,3.8,14526.2,254.277,2.41,98.4,508944,102.8361,1191,2045.14,14248.6,2932.41,63.1,4.8,9.4,127551.0,252.561,27.59
2019Q2,44.67168426513672,52.227500915527344,46.82500076293945,21397.938,20602.275,62385.0,103.862,3.6,14771.4,255.213,2.38,98.2,513716,102.5425,1243,2059.292,14408.7,3000.782,62.8,4.6,9.37,127974.0,255.233,27.79
2019Q3,51.09079360961914,58.36249923706055,50.26499938964844,21717.171,20843.322,63022.0,104.192,3.5,15031.4,256.43,2.04,93.2,518188,102.4601,1311,2087.795,14590.6,3031.12,63.1,4.5,9.44,128364.0,255.802,28.03
2019Q4,53.385677337646484,61.252498626708984,55.165000915527344,21933.217,20985.448,63360.0,104.516,3.6,15348.0,258.63,1.55,99.3,524954,101.9421,1548,2120.925,14774.8,3010.301,63.3,4.6,9.48,128790.0,257.155,28.23
2020Q1,53.323211669921875,70.8375015258789,43.70000076293945,21727.657,20693.238,62415.0,104.999,4.4,15993.8,258.076,0.65,89.1,477676,97.606,1252,2023.162,13810.5,2961.131,63.3,4.5,9.46,129250.0,259.127,28.43
2020Q2,53.51665115356445,65.56500244140625,53.2599983215332,19935.444,19056.617,57440.0,104.612,11.0,18141.1,257.042,0.08,78.1,526970,91.6745,1254,1871.838,14040.8,2734.481,60.1,3.4,10.09,108515.0,256.032,30.04
2020Q3,62.160118103027344,74.82499694824219,59.57749938964844,21684.551,20548.793,61906.0,105.527,7.8,18596.6,259.997,0.09,80.4,551131,95.8914,1463,2553.784,14675.4,2852.216,61.5,4.5,9.81,117741.0,258.352,29.39
2020Q4,69.43570709228516,83.33999633789062,69.625,22068.767,20771.691,62544.0,106.244,6.7,19133.2,262.045,0.09,80.7,549300,98.2039,1635,2398.03,14827.3,2934.089,61.7,4.6,9.78,120656.0,260.319,29.55
2021Q1,68.4067611694336,87.69000244140625,68.33000183105469,22656.793,21058.379,63418.0,107.59,6.1,19823.4,264.847,0.07,84.9,616348,98.1929,1668,2716.546,15712.4,3000.219,61.4,4.8,9.81,121134.0,262.639,29.92
2021Q2,66.64918518066406,81.41000366210938,71.19999694824219,23368.861,21389.005,64383.0,109.256,5.9,20474.7,270.71,0.08,85.5,622125,99.6483,1638,2996.334,16183.6,3067.327,61.6,6.1,9.78,122702.0,266.625,30.23
2021Q3,71.74179077148438,86.97000122070312,73.08000183105469,23921.991,21571.421,64850.0,110.897,4.7,20978.6,273.942,0.08,72.8,620529,98.9955,1563,2952.754,16477.5,3085.885,61.8,7.0,9.74,124704.0,271.965,30.66
2021Q4,85.67855072021484,93.7300033569336,77.56999969482422,24777.038,21960.388,65925.0,112.826,3.9,21470.9,280.806,0.08,70.6,632515,101.1948,1757,2886.711,16905.5,3162.92,61.8,7.1,9.75,126526.0,276.528,31.15
2022Q1,78.17080688476562,93.6500015258789,69.79000091552734,25215.491,21903.85,65684.0,115.119,3.7,21720.8,287.467,0.2,59.4,664167,102.6732,1678,2898.216,17371.4,3319.478,62.2,7.0,9.68,127950.0,282.542,31.62
2022Q2,71.88761138916016,87.5199966430664,67.22000122070312,25805.791,21919.222,65631.0,117.731,3.6,21642.5,295.072,1.21,50.0,675702,102.8224,1542,3084.126,17747.6,3443.77,62.2,7.3,9.61,129572.0,288.582,31.96
2022Q3,73.12218475341797,91.3499984741211,76.33000183105469,26272.011,22066.784,65939.0,119.057,3.5,21520.5,296.421,2.56,58.6,673312,103.5326,1470,2985.393,17987.2,3563.95,62.1,7.1,9.52,130767.0,294.94,32.35
2022Q4,78.35811614990234,88.61000061035156,69.80999755859375,26734.277,22249.459,66341.0,120.157,3.5,21219.3,298.808,4.1,59.8,666734,101.8266,1340,2834.572,18134.6,3643.894,62.2,6.4,9.56,131604.0,297.979,32.7
2023Q1,72.7136001586914,86.47000122070312,69.63999938964844,27164.359,22403.435,66673.0,121.251,3.5,20876.3,301.643,4.65,62.0,679067,102.8143,1342,2931.223,18511.3,3742.299,62.4,6.3,9.59,132288.0,300.456,33.05
2023Q2,70.44597625732422,79.77999877929688,71.87999725341797,27453.815,22539.418,66945.0,121.804,3.6,20782.6,304.099,5.08,64.2,688810,102.3809,1415,2989.192,18742.1,3833.706,62.6,6.0,9.66,132753.0,302.858,33.42
2023Q3,54.76832962036133,76.66999816894531,56.97999954223633,27967.697,22780.933,67499.0,122.768,3.8,20720.0,307.374,5.33,67.8,702109,103.3081,1363,3114.986,19024.9,3848.821,62.6,5.2,9.71,133199.0,304.615,33.84
2023Q4,58.53899002075195,64.58999633789062,47.150001525878906,28296.967,22960.6,67858.0,123.241,3.8,20701.4,308.735,5.33,69.7,699821,102.6309,1568,3239.649,19289.9,3901.469,62.7,5.2,9.69,133513.0,307.653,34.07
2024Q1,62.15789794921875,64.26000213623047,53.95000076293945,28624.069,23053.545,67981.0,124.163,3.9,20901.5,312.107,5.33,79.4,703738,102.5186,1299,3314.945,19553.2,3957.828,62.5,5.1,9.75,133896.0,309.794,34.47
2024Q2,69.31483459472656,80.47000122070312,61.310001373291016,29016.714,23223.906,68320.0,124.943,4.1,21065.5,313.131,5.33,68.2,702350,103.2534,1329,3413.018,19747.5,4018.471,62.7,4.6,9.72,134345.0,313.016,34.75
2024Q3,83.28105163574219,85.55999755859375,69.37999725341797,29374.914,23400.294,68696.0,125.532,4.1,21272.2,314.851,5.13,70.1,716388,102.5954,1355,3402.982,20044.1,4089.446,62.7,4.5,9.81,134611.0,313.566,35.07
2024Q4,71.17355346679688,86.0999984741211,69.31999969482422,29723.864,23542.349,69006.0,126.257,4.1,21490.1,317.603,4.48,74.0,730336,103.1654,1526,3631.383,20408.1,4073.923,62.5,4.6,9.86,134851.0,315.564,35.48
